payment_detail_id,payment_method_code,payment_method_value,payment_method_expiry
148,MOBILE_PHONE_PLATFORM,GooglePay,11/26
155,MOBILE_PHONE_PLATFORM,GooglePay,01/27
167,MOBILE_PHONE_PLATFORM,ApplePay,03/25
157,MOBILE_PHONE_PLATFORM,ApplePay,05/25
161,CREDIT_CARD,2238142979970316,09/26
158,PAYPAL,ldeleon@example.com,07/26
170,CREDIT_CARD,6011583145117296,04/26
153,CREDIT_CARD,213117434161126,06/25
168,PAYPAL,jhinton@example.org,05/26
212,MOBILE_PHONE_PLATFORM,GooglePay,02/27
156,MOBILE_PHONE_PLATFORM,ApplePay,12/26
160,MOBILE_PHONE_PLATFORM,SamsungPay,12/26
171,MOBILE_PHONE_PLATFORM,ApplePay,08/25
166,MOBILE_PHONE_PLATFORM,GooglePay,10/25
154,PAYPAL,dcordova@example.com,02/27
162,MOBILE_PHONE_PLATFORM,ApplePay,01/27
164,MOBILE_PHONE_PLATFORM,GooglePay,08/26
163,PAYPAL,ccross@example.org,09/26
165,MOBILE_PHONE_PLATFORM,ApplePay,01/25
159,MOBILE_PHONE_PLATFORM,GooglePay,03/26
213,MOBILE_PHONE_PLATFORM,GooglePay,11/25
169,MOBILE_PHONE_PLATFORM,SamsungPay,03/26
191,MOBILE_PHONE_PLATFORM,ApplePay,03/25
198,PAYPAL,cwu@example.com,04/25
196,MOBILE_PHONE_PLATFORM,ApplePay,05/25
184,MOBILE_PHONE_PLATFORM,SamsungPay,07/25
188,PAYPAL,jobrien@example.com,06/25
190,MOBILE_PHONE_PLATFORM,SamsungPay,11/26
187,MOBILE_PHONE_PLATFORM,ApplePay,05/26
181,MOBILE_PHONE_PLATFORM,SamsungPay,10/26
193,MOBILE_PHONE_PLATFORM,ApplePay,03/25
178,MOBILE_PHONE_PLATFORM,GooglePay,05/26
174,PAYPAL,rshields@example.net,10/25
185,PAYPAL,khuff@example.net,09/26
197,MOBILE_PHONE_PLATFORM,ApplePay,07/26
177,MOBILE_PHONE_PLATFORM,SamsungPay,01/25
179,MOBILE_PHONE_PLATFORM,SamsungPay,07/26
192,CREDIT_CARD,213141601439834,06/25
214,MOBILE_PHONE_PLATFORM,SamsungPay,01/27
182,MOBILE_PHONE_PLATFORM,GooglePay,02/25
186,MOBILE_PHONE_PLATFORM,SamsungPay,10/26
199,MOBILE_PHONE_PLATFORM,ApplePay,02/27
176,CREDIT_CARD,4350407368235983116,10/25
175,MOBILE_PHONE_PLATFORM,GooglePay,09/26
172,MOBILE_PHONE_PLATFORM,ApplePay,01/27
173,MOBILE_PHONE_PLATFORM,SamsungPay,04/25
215,PAYPAL,rcummings@example.com,07/26
194,PAYPAL,rcummings@example.com,10/25
180,MOBILE_PHONE_PLATFORM,SamsungPay,07/26
195,MOBILE_PHONE_PLATFORM,ApplePay,04/25
189,MOBILE_PHONE_PLATFORM,SamsungPay,07/25
183,MOBILE_PHONE_PLATFORM,ApplePay,11/26
